teacher_id,name,base_district,base_lat,base_lng,subjects,capacity_hours_per_week
HG067,Nong Van Duc,Quan Ba,23.0912,104.9912,Physics,8
HG068,Ly Thi Sua,Quan Ba,23.0289,104.9634,English;IT,7
HG069,Giang Seo Pao,Quan Ba,23.0756,104.9289,Math,8
HG070,Hau Thi May,Quan Ba,23.0534,105.0056,Biology,6
HG071,Tran Thi Hoa,Vi Xuyen,22.7534,104.9678,Math;Physics,7
HG072,Le Van Khanh,Vi Xuyen,22.8423,104.9023,English,8
HG073,Nong Thi Lan,Vi Xuyen,22.7689,104.9812,IT;Biology,6
HG074,Giang A Sinh,Vi Xuyen,22.8156,104.9456,Math,8
HG075,Dinh Van Phu,Vi Xuyen,22.7823,104.9134,Physics;English,7
HG076,Sung Thi Hoa,Hoang Su Phi,22.7156,104.6612,Math,6
HG077,Chao Van Minh,Hoang Su Phi,22.7634,104.7256,Biology;IT,8
HG078,Lo Thi Xuan,Hoang Su Phi,22.6934,104.6934,English,7
HG079,Ly Van Tuyen,Hoang Su Phi,22.7489,104.6489,Math;Physics,6
HG080,Mua Thi Cho,Hoang Su Phi,22.7312,104.7089,Biology,8
HG081,Giang Thi Lua,Xin Man,22.6723,104.4812,Math,7
HG082,Sung A Minh,Xin Man,22.7234,104.4356,English;Physics,8
HG083,Nong Thi Xuan,Xin Man,22.6589,104.5089,IT,6
HG084,Lo Van Duc,Xin Man,22.7089,104.4623,Math;Biology,7
HG085,Ly Thi Thanh,Xin Man,22.6845,104.4489,English,6
HG086,Hau Van Son,Bac Me,22.8134,105.3156,Math;Physics,8
HG087,Giang Thi My,Bac Me,22.7589,105.3712,English,7
HG088,Sung A Lua,Bac Me,22.7423,105.3456,Biology;Math,6
HG089,Cu Van Minh,Bac Me,22.8256,105.3289,IT,8
HG090,Ly Thi Vang,Bac Me,22.7712,105.3834,Physics,7
HG091,Tran Van Duc,Quang Binh,22.4923,104.8756,Math;English,8
HG092,Nong Van Phu,Quang Binh,22.5567,104.8489,Biology,6
HG093,Lo Thi Hoa,Quang Binh,22.5312,104.9034,IT;Math,8
HG094,Giang Thi Bich,Quang Binh,22.4756,104.8923,English,7
HG095,Sung Van Kien,Quang Binh,22.5689,104.8312,Physics;Biology,6
HG096,Nguyen Thi Bich,Ha Giang City,22.8467,104.9923,Math;Physics,8
HG097,Le Thi Thu,Ha Giang City,22.8123,104.9512,English;IT,8
HG098,Pham Van Quang,Ha Giang City,22.8289,104.9678,Biology,7
HG099,Dang Thi Nga,Ha Giang City,22.8356,104.9834,Math;English,8
HG100,Tran Van Minh,Ha Giang City,22.8201,104.9601,IT;Physics,7
